  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   13     4    8.0372E-13    6.7082E-13    4.3289E-13    3.2506E-13    2.4364E-13    2.1575E-13    2.1449E-13    2.2524E-13    2.3862E-13    2.5865E-13
   13     5    1.4483E-12    1.5481E-12    1.4962E-12    1.4572E-12    1.4201E-12    1.3819E-12    1.3591E-12    1.3131E-12    1.2810E-12    1.2392E-12
   13     6    1.7724E-12    1.8347E-12    1.5744E-12    1.4490E-12    1.4045E-12    1.4678E-12    1.5247E-12    1.6665E-12    1.8007E-12    2.0521E-12
   13     7    1.3916E-12    1.2635E-12    8.9104E-13    7.1979E-13    6.0360E-13    5.8104E-13    5.9030E-13    6.2699E-13    6.6077E-13    7.0685E-13
   13     8    2.6278E-12    2.6797E-12    2.0913E-12    1.7369E-12    1.4554E-12    1.4131E-12    1.4721E-12    1.7114E-12    1.9812E-12    2.4985E-12
   13     9    3.5972E-12    2.5033E-12    1.4911E-12    1.0919E-12    8.2246E-13    7.6648E-13    7.8957E-13    8.8916E-13    9.8396E-13    1.1067E-12
   13    10    3.7465E-12    2.9507E-12    2.1747E-12    1.9113E-12    1.8322E-12    1.9379E-12    2.0180E-12    2.1794E-12    2.3007E-12    2.4923E-12
   13    11    3.0995E-12    2.7302E-12    2.0810E-12    1.7215E-12    1.3947E-12    1.2428E-12    1.2230E-12    1.2777E-12    1.3897E-12    1.6509E-12
   13    12    3.0283E-12    3.3769E-12    3.4092E-12    3.4263E-12    3.6076E-12    3.9639E-12    4.1947E-12    4.7108E-12    5.1430E-12    5.8009E-12
   14     1    6.0832E-13    8.9625E-13    9.9507E-13    1.0034E-12    1.0397E-12    1.1484E-12    1.2387E-12    1.4904E-12    1.7592E-12    2.3303E-12
   14     2    1.1771E-12    9.6192E-13    6.4667E-13    5.1187E-13    4.1558E-13    3.8738E-13    3.9059E-13    4.2206E-13    4.6627E-13    5.6860E-13
   14     3    3.0612E-12    3.1866E-12    2.6273E-12    2.2690E-12    1.9660E-12    1.8977E-12    1.9515E-12    2.2274E-12    2.6027E-12    3.5201E-12
   14     4    1.3292E-12    1.4464E-12    1.4003E-12    1.3601E-12    1.3323E-12    1.3226E-12    1.3209E-12    1.3263E-12    1.3461E-12    1.4205E-12
   14     5    8.1190E-13    6.7598E-13    4.3111E-13    3.1954E-13    2.3571E-13    2.0713E-13    2.0550E-13    2.1528E-13    2.2848E-13    2.5112E-13
   14     6    1.4602E-12    1.2833E-12    8.8268E-13    7.0332E-13    5.8610E-13    5.7441E-13    5.9384E-13    6.5685E-13    7.1269E-13    7.8676E-13
   14     7    2.0401E-12    2.1083E-12    1.7987E-12    1.6470E-12    1.5666E-12    1.5678E-12    1.5776E-12    1.5936E-12    1.5986E-12    1.5927E-12
   14     8    2.3930E-12    2.3309E-12    1.7647E-12    1.4537E-12    1.1940E-12    1.0972E-12    1.1001E-12    1.1881E-12    1.3124E-12    1.5581E-12
   14     9    3.2449E-12    2.9526E-12    2.5328E-12    2.3904E-12    2.4189E-12    2.6336E-12    2.7867E-12    3.1398E-12    3.4527E-12    4.0011E-12
   14    10    2.5350E-12    1.9018E-12    1.2414E-12    9.7639E-13    7.9613E-13    7.4655E-13    7.4988E-13    7.8193E-13    8.1103E-13    8.3497E-13
   14    11    3.2858E-12    2.8651E-12    2.1090E-12    1.7063E-12    1.3783E-12    1.2816E-12    1.3047E-12    1.4555E-12    1.6354E-12    1.9494E-12
   14    12    3.5392E-12    2.8002E-12    1.7934E-12    1.3289E-12    9.7814E-13    8.9050E-13    9.1801E-13    1.0507E-12    1.1805E-12    1.3571E-12
   14    13    4.9438E-12    5.0528E-12    5.0492E-12    5.2808E-12    5.9072E-12    6.6922E-12    7.0728E-12    7.6855E-12    8.0352E-12    8.4322E-12
   15     1    2.6903E-13    2.0481E-13    1.1455E-13    7.4026E-14    4.0221E-14    2.2460E-14    1.7171E-14    1.1101E-14    8.8116E-15    7.7111E-15
   15     2    7.2999E-13    5.4784E-13    3.1325E-13    2.1006E-13    1.2601E-13    8.4928E-14    7.4310E-14    6.5501E-14    6.5320E-14    7.0814E-14
   15     3    2.1163E-12    1.8203E-12    1.2402E-12    9.7847E-13    7.9166E-13    7.4036E-13    7.4628E-13    7.9326E-13    8.4787E-13    9.4415E-13
   15     4    2.4139E-12    2.5235E-12    2.1582E-12    1.8588E-12    1.5047E-12    1.2710E-12    1.2127E-12    1.2355E-12    1.3975E-12    2.0172E-12
   15     5    2.1816E-12    2.2141E-12    1.9485E-12    1.7780E-12    1.6298E-12    1.5885E-12    1.6023E-12    1.6707E-12    1.7409E-12    1.8501E-12
   15     6    2.8867E-12    3.1253E-12    2.7888E-12    2.5685E-12    2.4080E-12    2.4082E-12    2.4554E-12    2.5987E-12    2.7292E-12    2.9296E-12
   15     7    4.2424E-12    6.7774E-12    9.2699E-12    1.0676E-11    1.2549E-11    1.4388E-11    1.5310E-11    1.7111E-11    1.8523E-11    2.0704E-11
   15     8    1.5422E-12    1.4293E-12    9.9851E-13    7.8836E-13    6.3655E-13    6.0036E-13    6.1100E-13    6.6479E-13    7.2172E-13    8.1209E-13
   15     9    7.1654E-12    7.2841E-12    7.3204E-12    7.4319E-12    7.8498E-12    8.5476E-12    8.9940E-12    1.0029E-11    1.0965E-11    1.2587E-11
   15    10    6.6621E-12    5.8401E-12    5.0550E-12    4.8916E-12    5.1074E-12    5.5888E-12    5.8581E-12    6.3702E-12    6.7472E-12    7.2853E-12
   15    11    6.6074E-12    5.5280E-12    4.4561E-12    4.0591E-12    3.8496E-12    3.8582E-12    3.9039E-12    4.0317E-12    4.1489E-12    4.3354E-12
   15    12    3.7245E-12    3.4438E-12    2.9397E-12    2.7429E-12    2.6849E-12    2.7840E-12    2.8677E-12    3.0629E-12    3.2248E-12    3.4638E-12
   15    13    1.2811E-12    1.0690E-12    7.2878E-13    5.7405E-13    4.6140E-13    4.2519E-13    4.2481E-13    4.4509E-13    4.7077E-13    5.0981E-13
   15    14    1.8671E-12    1.5915E-12    1.1312E-12    9.4540E-13    8.6152E-13    9.0681E-13    9.5453E-13    1.0636E-12    1.1534E-12    1.3087E-12
