  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   56    10    1.1102E-12    7.7856E-13    5.9057E-13    5.5059E-13    5.6130E-13    6.2232E-13    6.6823E-13    7.8154E-13    8.8717E-13    1.0765E-12
   56    11    7.6130E-13    4.3615E-13    2.4904E-13    1.9062E-13    1.5447E-13    1.4768E-13    1.5158E-13    1.6967E-13    1.9214E-13    2.4294E-13
   56    12    1.3399E-12    7.6617E-13    4.3798E-13    3.3878E-13    2.8706E-13    2.9904E-13    3.2340E-13    3.9928E-13    4.8092E-13    6.4931E-13
   56    13    8.1227E-13    5.4148E-13    3.7644E-13    3.3134E-13    3.2024E-13    3.4789E-13    3.7323E-13    4.4332E-13    5.1845E-13    6.8177E-13
   56    14    1.0619E-12    7.5518E-13    5.5706E-13    4.9863E-13    4.7468E-13    4.9393E-13    5.1640E-13    5.7808E-13    6.3580E-13    7.2979E-13
   56    15    9.5034E-13    5.5242E-13    3.3037E-13    2.6719E-13    2.3759E-13    2.4593E-13    2.5914E-13    2.9544E-13    3.2927E-13    3.8601E-13
   56    16    1.2699E-12    8.4857E-13    5.9946E-13    5.3473E-13    5.2535E-13    5.7661E-13    6.1952E-13    7.2912E-13    8.3433E-13    1.0301E-12
   56    17    1.0023E-12    6.5410E-13    4.3555E-13    3.6607E-13    3.2734E-13    3.2875E-13    3.3949E-13    3.7382E-13    4.1069E-13    4.8690E-13
   56    18    1.1725E-12    8.8575E-13    7.7183E-13    8.0600E-13    9.5297E-13    1.1999E-12    1.3652E-12    1.7701E-12    2.1618E-12    2.9263E-12
   56    19    1.7332E-12    1.0719E-12    6.6098E-13    5.1957E-13    4.1527E-13    3.6968E-13    3.6122E-13    3.6680E-13    3.9018E-13    4.6513E-13
   56    20    1.2700E-12    7.7923E-13    4.7976E-13    3.8659E-13    3.3709E-13    3.4540E-13    3.6556E-13    4.2881E-13    4.9599E-13    6.2870E-13
   56    21    1.2653E-12    9.4802E-13    8.2412E-13    8.5124E-13    9.8045E-13    1.1934E-12    1.3322E-12    1.6662E-12    1.9906E-12    2.6428E-12
   56    22    1.1981E-12    7.8759E-13    5.4075E-13    4.7150E-13    4.5203E-13    4.8958E-13    5.2267E-13    6.0350E-13    6.7529E-13    7.9563E-13
   56    23    1.0501E-12    6.4239E-13    3.9806E-13    3.2297E-13    2.8324E-13    2.8950E-13    3.0512E-13    3.5282E-13    4.0063E-13    4.8535E-13
   56    24    2.4044E-12    1.7566E-12    1.3078E-12    1.1601E-12    1.0755E-12    1.0678E-12    1.0822E-12    1.1375E-12    1.2030E-12    1.3427E-12
   56    25    1.3247E-12    8.0496E-13    4.8107E-13    3.7648E-13    3.1336E-13    3.0617E-13    3.1652E-13    3.5548E-13    3.9914E-13    4.8858E-13
   56    26    1.2792E-12    8.5289E-13    5.8613E-13    5.0882E-13    4.8349E-13    5.2427E-13    5.6477E-13    6.7132E-13    7.6920E-13    9.3019E-13
   56    27    1.4186E-12    9.9160E-13    7.4192E-13    6.8339E-13    6.9090E-13    7.7565E-13    8.4784E-13    1.0543E-12    1.2860E-12    1.8179E-12
   56    28    1.3909E-12    8.9238E-13    5.7954E-13    4.8867E-13    4.5340E-13    4.7860E-13    5.0489E-13    5.7024E-13    6.2700E-13    7.1637E-13
   56    29    2.3071E-12    1.8468E-12    1.4900E-12    1.3982E-12    1.4124E-12    1.5266E-12    1.6064E-12    1.7833E-12    1.9266E-12    2.1374E-12
   56    30    1.3381E-12    8.8226E-13    5.9376E-13    5.0856E-13    4.7624E-13    5.0815E-13    5.4183E-13    6.3129E-13    7.1591E-13    8.6567E-13
   56    31    2.1092E-12    1.3574E-12    8.5111E-13    6.7250E-13    5.4518E-13    4.9994E-13    4.9781E-13    5.2091E-13    5.5515E-13    6.2194E-13
   56    32    1.4493E-12    9.7696E-13    6.6225E-13    5.6777E-13    5.3911E-13    6.0097E-13    6.6314E-13    8.3855E-13    1.0183E-12    1.3668E-12
   56    33    1.3065E-12    9.2295E-13    6.5147E-13    5.6178E-13    5.2181E-13    5.5758E-13    6.0107E-13    7.2483E-13    8.4350E-13    1.0389E-12
   56    34    1.7202E-12    1.2398E-12    8.9553E-13    7.8385E-13    7.2715E-13    7.3441E-13    7.5224E-13    8.0460E-13    8.5841E-13    9.6510E-13
   56    35    2.7587E-12    2.4978E-12    2.2011E-12    2.0903E-12    2.0519E-12    2.1022E-12    2.1504E-12    2.2765E-12    2.3954E-12    2.5978E-12
   56    36    1.4722E-12    9.4307E-13    5.8535E-13    4.6952E-13    4.0822E-13    4.2029E-13    4.4519E-13    5.1625E-13    5.8318E-13    6.9566E-13
   56    37    1.1992E-12    7.7212E-13    4.7298E-13    3.7502E-13    3.2179E-13    3.2802E-13    3.4684E-13    4.0558E-13    4.6721E-13    5.8959E-13
   56    38    1.6931E-12    1.1516E-12    7.5990E-13    6.3825E-13    5.9489E-13    6.4251E-13    6.8674E-13    7.9159E-13    8.8060E-13    1.0246E-12
   56    39    2.3687E-12    1.9389E-12    1.5958E-12    1.4979E-12    1.4844E-12    1.5454E-12    1.5921E-12    1.7072E-12    1.8152E-12    2.0007E-12
   56    40    2.3152E-12    1.6669E-12    1.1639E-12    9.7747E-13    8.4979E-13    8.1586E-13    8.2337E-13    8.7372E-13    9.3833E-13    1.0716E-12
   56    41    1.5289E-12    1.1004E-12    7.5671E-13    6.3106E-13    5.5584E-13    5.6799E-13    6.0387E-13    7.2322E-13    8.4978E-13    1.0813E-12
   56    42    1.2779E-12    9.3144E-13    6.6995E-13    5.8624E-13    5.5363E-13    5.8361E-13    6.1554E-13    7.0303E-13    7.9262E-13    9.7676E-13
   56    43    1.3198E-12    8.8481E-13    5.3932E-13    4.1337E-13    3.3167E-13    3.1939E-13    3.3172E-13    3.8160E-13    4.3758E-13    5.4492E-13
   56    44    2.3725E-12    1.7490E-12    1.3064E-12    1.1977E-12    1.2078E-12    1.3215E-12    1.4031E-12    1.5975E-12    1.7756E-12    2.0872E-12
   56    45    1.9536E-12    1.3007E-12    8.0616E-13    6.4265E-13    5.6246E-13    5.8480E-13    6.1753E-13    6.9822E-13    7.6512E-13    8.6837E-13
   56    46    1.1009E-12    7.9431E-13    5.3695E-13    4.4891E-13    4.0695E-13    4.2453E-13    4.4786E-13    5.1060E-13    5.7024E-13    6.7892E-13
   56    47    1.1996E-12    9.4038E-13    6.9039E-13    5.9539E-13    5.3876E-13    5.3979E-13    5.5623E-13    6.1305E-13    6.7760E-13    8.1452E-13
   56    48    1.2179E-12    9.3433E-13    6.4040E-13    5.2059E-13    4.4095E-13    4.3480E-13    4.5513E-13    5.3478E-13    6.2574E-13    7.9740E-13
   56    49    1.9500E-12    1.4914E-12    1.0390E-12    8.4462E-13    6.8503E-13    6.0850E-13    5.9184E-13    5.9178E-13    6.1698E-13    6.9631E-13
   56    50    1.0874E-11    1.2536E-11    1.4368E-11    1.5531E-11    1.7302E-11    1.9241E-11    2.0275E-11    2.2384E-11    2.4087E-11    2.6751E-11
   56    51    7.8056E-12    6.7206E-12    5.6022E-12    5.1063E-12    4.7337E-12    4.6080E-12    4.6092E-12    4.7082E-12    4.8613E-12    5.2087E-12
   56    52    1.1216E-12    8.4448E-13    5.5697E-13    4.4308E-13    3.7818E-13    3.9270E-13    4.2174E-13    5.0768E-13    5.9560E-13    7.6920E-13
   56    53    1.8423E-12    1.3193E-12    8.2864E-13    6.4599E-13    5.3740E-13    5.4014E-13    5.6977E-13    6.6034E-13    7.4759E-13    8.9789E-13
   56    54    2.0699E-12    1.7199E-12    1.3415E-12    1.2152E-12    1.2029E-12    1.3251E-12    1.4219E-12    1.6549E-12    1.8621E-12    2.2084E-12
   56    55    6.9975E-12    6.7703E-12    6.5980E-12    6.8086E-12    7.3746E-12    7.9657E-12    8.2192E-12    8.6384E-12    8.9506E-12    9.5186E-12
   57     1    8.6081E-14    4.0943E-14    1.8339E-14    1.1743E-14    7.4685E-15    5.9660E-15    5.7915E-15    6.2302E-15    7.3308E-15    1.1614E-14
   57     2    2.8902E-13    1.4349E-13    6.9327E-14    4.7995E-14    3.5082E-14    3.2238E-14    3.3277E-14    3.9368E-14    4.8185E-14    7.2821E-14
   57     3    7.2515E-13    3.8733E-13    2.0161E-13    1.4498E-13    1.0804E-13    9.5935E-14    9.5450E-14    1.0177E-13    1.1171E-13    1.3455E-13
   57     4    4.4681E-13    2.6168E-13    1.5533E-13    1.1845E-13    8.8692E-14    7.3671E-14    7.0424E-14    7.1704E-14    8.0389E-14    1.1703E-13
   57     5    3.6501E-13    1.9071E-13    1.0087E-13    7.5282E-14    6.0573E-14    5.8957E-14    6.1714E-14    7.3016E-14    8.6722E-14    1.1657E-13
   57     6    4.9675E-13    2.7230E-13    1.5457E-13    1.2115E-13    1.0170E-13    9.7874E-14    1.0009E-13    1.1287E-13    1.3275E-13    1.9310E-13
   57     7    7.6116E-13    4.6603E-13    2.9141E-13    2.3016E-13    1.8084E-13    1.5601E-13    1.5064E-13    1.5292E-13    1.6779E-13    2.2852E-13
   57     8    1.1285E-12    6.4018E-13    3.6133E-13    2.7825E-13    2.3108E-13    2.2786E-13    2.3771E-13    2.7536E-13    3.2006E-13    4.1618E-13
   57     9    9.0076E-13    5.2168E-13    3.0108E-13    2.2856E-13    1.7809E-13    1.6298E-13    1.6536E-13    1.8436E-13    2.0783E-13    2.5112E-13
   57    10    1.1529E-12    7.4126E-13    4.7856E-13    3.8569E-13    3.1684E-13    2.9699E-13    3.0352E-13    3.4321E-13    3.9115E-13    4.7761E-13
   57    11    2.0982E-12    1.2862E-12    7.7230E-13    6.0675E-13    4.9805E-13    4.6326E-13    4.6267E-13    4.8376E-13    5.1562E-13    5.8698E-13
   57    12    8.7529E-13    4.8005E-13    2.6447E-13    2.0451E-13    1.7349E-13    1.7146E-13    1.7682E-13    1.9717E-13    2.2182E-13    2.7649E-13
   57    13    1.0257E-12    6.1919E-13    3.9861E-13    3.5413E-13    3.7796E-13    4.6776E-13    5.2938E-13    6.6359E-13    7.6645E-13    9.0000E-13
   57    14    1.1237E-12    6.9549E-13    4.3647E-13    3.4724E-13    2.7801E-13    2.4451E-13    2.3756E-13    2.4136E-13    2.6077E-13    3.2826E-13
   57    15    1.9125E-12    1.2308E-12    8.2005E-13    6.9617E-13    6.4196E-13    6.7877E-13    7.2354E-13    8.4958E-13    9.7457E-13    1.2043E-12
   57    16    2.4918E-12    1.6619E-12    1.0932E-12    8.9937E-13    7.7909E-13    7.7076E-13    7.9901E-13    9.0346E-13    1.0194E-12    1.2442E-12
   57    17    2.0189E-12    1.1737E-12    6.7192E-13    5.1739E-13    4.2267E-13    4.0028E-13    4.0558E-13    4.3889E-13    4.8191E-13    5.7459E-13
   57    18    1.4203E-12    8.6326E-13    5.9057E-13    5.6220E-13    6.3890E-13    7.8669E-13    8.7271E-13    1.0417E-12    1.1625E-12    1.3160E-12
   57    19    1.4724E-12    9.6293E-13    6.5497E-13    5.6327E-13    5.1213E-13    5.0371E-13    5.0781E-13    5.2551E-13    5.4664E-13    5.9261E-13
   57    20    2.0987E-12    1.4401E-12    1.0098E-12    8.6757E-13    7.7958E-13    7.7241E-13    7.9339E-13    8.7276E-13    9.5871E-13    1.1092E-12
   57    21    2.8651E-12    2.2941E-12    1.8048E-12    1.6322E-12    1.5255E-12    1.5010E-12    1.5071E-12    1.5437E-12    1.5892E-12    1.6782E-12
   57    22    1.7672E-12    1.1094E-12    7.1377E-13    5.9784E-13    5.4211E-13    5.5237E-13    5.7266E-13    6.3321E-13    6.9698E-13    8.2390E-13
   57    23    3.0804E-12    2.1537E-12    1.4870E-12    1.2667E-12    1.1553E-12    1.1887E-12    1.2452E-12    1.4153E-12    1.5899E-12    1.9105E-12
   57    24    1.2467E-12    7.3864E-13    4.1912E-13    3.1842E-13    2.5799E-13    2.4595E-13    2.5021E-13    2.7192E-13    3.0070E-13    3.7443E-13
   57    25    4.0076E-12    3.1636E-12    2.5925E-12    2.4625E-12    2.5003E-12    2.6806E-12    2.8020E-12    3.0697E-12    3.2924E-12    3.6443E-12
   57    26    4.2797E-12    3.3716E-12    2.4546E-12    2.0098E-12    1.5878E-12    1.3471E-12    1.2858E-12    1.2697E-12    1.3421E-12    1.5945E-12
   57    27    3.1092E-12    2.4260E-12    1.9203E-12    1.7504E-12    1.6533E-12    1.6442E-12    1.6606E-12    1.7215E-12    1.7887E-12    1.9160E-12
   57    28    9.2337E-13    5.6159E-13    3.2555E-13    2.4257E-13    1.8190E-13    1.5976E-13    1.5941E-13    1.7597E-13    2.0252E-13    2.6627E-13
   57    29    7.5852E-13    4.3261E-13    2.3592E-13    1.7444E-13    1.3982E-13    1.4248E-13    1.5482E-13    1.9782E-13    2.4945E-13    3.7615E-13
   57    30    3.6232E-12    2.5173E-12    1.7628E-12    1.5167E-12    1.3990E-12    1.4601E-12    1.5427E-12    1.7757E-12    1.9997E-12    2.3834E-12
   57    31    1.5003E-12    9.4660E-13    5.5897E-13    4.2338E-13    3.3264E-13    3.0756E-13    3.1113E-13    3.4186E-13    3.8469E-13    4.8336E-13
   57    32    4.1996E-12    3.2240E-12    2.2891E-12    1.8744E-12    1.5441E-12    1.4264E-12    1.4290E-12    1.5223E-12    1.6528E-12    1.9252E-12
   57    33    3.5349E-12    2.5185E-12    1.7418E-12    1.4312E-12    1.1911E-12    1.1155E-12    1.1304E-12    1.2499E-12    1.4183E-12    1.8125E-12
   57    34    2.3496E-12    1.6637E-12    1.1787E-12    1.0293E-12    9.7930E-13    1.0461E-12    1.1085E-12    1.2626E-12    1.3981E-12    1.6166E-12
   57    35    1.0249E-12    6.3661E-13    3.8347E-13    2.9878E-13    2.4719E-13    2.4788E-13    2.6438E-13    3.2240E-13    3.8757E-13    5.2342E-13
   57    36    1.2977E-12    8.4523E-13    5.2145E-13    4.0258E-13    3.1869E-13    2.9700E-13    3.0364E-13    3.4290E-13    3.9247E-13    4.9599E-13
   57    37    3.6294E-12    3.0367E-12    2.6712E-12    2.6347E-12    2.8038E-12    3.1628E-12    3.4059E-12    3.9953E-12    4.5641E-12    5.6780E-12
   57    38    1.5356E-12    1.1343E-12    8.0999E-13    6.8986E-13    6.2393E-13    6.4703E-13    6.8497E-13    7.9559E-13    9.0485E-13    1.0999E-12
   57    39    1.3416E-12    8.5573E-13    5.1577E-13    3.9786E-13    3.2392E-13    3.1752E-13    3.3275E-13    3.8754E-13    4.4518E-13    5.4765E-13
   57    40    1.4665E-12    1.0147E-12    6.5598E-13    5.3063E-13    4.6010E-13    4.6018E-13    4.7540E-13    5.2017E-13    5.6188E-13    6.3114E-13
   57    41    8.2306E-12    1.0191E-11    1.2159E-11    1.3445E-11    1.5277E-11    1.7117E-11    1.8049E-11    1.9876E-11    2.1297E-11    2.3468E-11
   57    42    2.9968E-12    2.3679E-12    1.8727E-12    1.6987E-12    1.6045E-12    1.6169E-12    1.6517E-12    1.7616E-12    1.8777E-12    2.1022E-12
   57    43    3.6285E-12    2.8326E-12    2.2595E-12    2.0921E-12    2.0524E-12    2.1399E-12    2.2112E-12    2.3787E-12    2.5240E-12    2.7617E-12
   57    44    1.2867E-12    8.9973E-13    5.9583E-13    4.8598E-13    4.1749E-13    4.1132E-13    4.2420E-13    4.6952E-13    5.1629E-13    5.9881E-13
   57    45    1.6229E-12    1.2100E-12    8.6396E-13    7.4590E-13    6.9252E-13    7.2083E-13    7.5612E-13    8.5416E-13    9.5109E-13    1.1310E-12
   57    46    2.5946E-12    1.9588E-12    1.3150E-12    1.0438E-12    8.5199E-13    8.1180E-13    8.3421E-13    9.4252E-13    1.0769E-12    1.3700E-12
   57    47    5.7204E-12    5.3384E-12    5.0046E-12    4.9669E-12    5.1502E-12    5.4677E-12    5.6433E-12    5.9853E-12    6.2462E-12    6.6374E-12
   57    48    8.4364E-12    7.0104E-12    5.7094E-12    5.2176E-12    4.9200E-12    4.9081E-12    4.9787E-12    5.2285E-12    5.5010E-12    6.0129E-12
   57    49    2.0206E-12    1.8537E-12    1.6734E-12    1.6249E-12    1.6447E-12    1.7083E-12    1.7421E-12    1.8023E-12    1.8474E-12    1.9260E-12
   57    50    4.6194E-13    3.4099E-13    2.2454E-13    1.8153E-13    1.5857E-13    1.6694E-13    1.8164E-13    2.3011E-13    2.8632E-13    4.1244E-13
   57    51    4.7848E-13    3.5716E-13    2.3924E-13    1.9362E-13    1.6420E-13    1.6081E-13    1.6657E-13    1.9033E-13    2.1990E-13    2.8840E-13
   57    52    1.8620E-12    1.3472E-12    8.7347E-13    6.8886E-13    5.6029E-13    5.2372E-13    5.2942E-13    5.7729E-13    6.4311E-13    7.8988E-13
   57    53    1.7304E-12    1.4692E-12    1.1809E-12    1.0866E-12    1.0777E-12    1.1570E-12    1.2166E-12    1.3564E-12    1.4817E-12    1.7004E-12
   57    54    1.4504E-12    1.0903E-12    7.6594E-13    6.3959E-13    5.5657E-13    5.4741E-13    5.6395E-13    6.2710E-13    6.9611E-13    8.2224E-13
   57    55    5.2713E-13    4.5621E-13    3.4780E-13    3.0060E-13    2.7046E-13    2.6798E-13    2.7373E-13    2.9484E-13    3.1893E-13    3.6919E-13
   57    56    4.6508E-13    3.9512E-13    2.8777E-13    2.4109E-13    2.1280E-13    2.1785E-13    2.3201E-13    2.8301E-13    3.4356E-13    4.7029E-13
   58     1    1.2788E-13    7.2692E-14    4.4527E-14    3.7067E-14    3.3430E-14    3.3372E-14    3.4060E-14    3.6559E-14    3.9635E-14    4.6518E-14
   58     2    3.7011E-13    2.0560E-13    1.2286E-13    1.0841E-13    1.2324E-13    1.6987E-13    2.0302E-13    2.7908E-13    3.4143E-13    4.3045E-13
   58     3    9.5477E-13    5.7066E-13    3.4760E-13    2.7901E-13    2.3404E-13    2.1770E-13    2.1580E-13    2.2147E-13    2.3396E-13    2.6853E-13
   58     4    4.1875E-13    2.5275E-13    1.5412E-13    1.1916E-13    9.1157E-14    7.7564E-14    7.4803E-14    7.6018E-14    8.2432E-14    1.0244E-13
   58     5    3.4644E-13    2.2208E-13    1.6488E-13    1.5207E-13    1.4346E-13    1.3905E-13    1.4055E-13    1.5562E-13    1.7859E-13    2.2754E-13
   58     6    5.5716E-13    3.2192E-13    2.0756E-13    1.8003E-13    1.6820E-13    1.6970E-13    1.7458E-13    1.9491E-13    2.2289E-13    2.9161E-13
   58     7    6.7687E-13    4.1647E-13    2.5706E-13    1.9966E-13    1.5325E-13    1.3046E-13    1.2580E-13    1.2780E-13    1.3826E-13    1.6907E-13
   58     8    1.4134E-12    8.5671E-13    5.5735E-13    5.1541E-13    5.9269E-13    7.7394E-13    8.8769E-13    1.1150E-12    1.2701E-12    1.4410E-12
   58     9    1.1565E-12    6.4865E-13    3.6341E-13    2.7220E-13    2.0764E-13    1.8464E-13    1.8527E-13    2.0771E-13    2.4340E-13    3.3344E-13
   58    10    8.4223E-13    5.0397E-13    3.2837E-13    2.8177E-13    2.5670E-13    2.5410E-13    2.6033E-13    2.9173E-13    3.3896E-13    4.7099E-13
   58    11    2.6515E-12    1.6848E-12    1.0294E-12    8.2245E-13    7.0829E-13    6.9918E-13    7.1486E-13    7.6860E-13    8.3081E-13    9.7618E-13
   58    12    1.3314E-12    8.5435E-13    5.5508E-13    4.5855E-13    4.0087E-13    4.0716E-13    4.3308E-13    5.2356E-13    6.2325E-13    8.1455E-13
   58    13    4.4840E-13    2.6248E-13    1.6090E-13    1.3646E-13    1.3381E-13    1.5293E-13    1.6854E-13    2.1004E-13    2.5460E-13    3.5708E-13
   58    14    4.7718E-13    2.8989E-13    1.8739E-13    1.6051E-13    1.5027E-13    1.5626E-13    1.6327E-13    1.8348E-13    2.0446E-13    2.4364E-13
   58    15    1.2505E-12    7.7018E-13    4.6759E-13    3.6261E-13    2.8480E-13    2.5649E-13    2.5729E-13    2.8456E-13    3.2740E-13    4.3363E-13
   58    16    4.3882E-12    3.5657E-12    2.8511E-12    2.6310E-12    2.5406E-12    2.5719E-12    2.6118E-12    2.7164E-12    2.8094E-12    2.9472E-12
   58    17    6.9838E-13    3.9904E-13    2.2812E-13    1.7849E-13    1.5258E-13    1.5511E-13    1.6402E-13    1.9450E-13    2.3240E-13    3.3437E-13
   58    18    7.3499E-13    4.2988E-13    2.5701E-13    2.0885E-13    1.8822E-13    2.0250E-13    2.2158E-13    2.8225E-13    3.5104E-13    4.9882E-13
   58    19    2.3971E-12    1.8313E-12    1.3791E-12    1.2260E-12    1.1800E-12    1.2984E-12    1.4103E-12    1.6986E-12    1.9600E-12    2.3900E-12
   58    20    1.3891E-12    8.8263E-13    5.7711E-13    4.8614E-13    4.4111E-13    4.5505E-13    4.8042E-13    5.6381E-13    6.6038E-13    8.7653E-13
   58    21    1.0525E-12    6.3761E-13    3.8033E-13    3.0012E-13    2.5390E-13    2.5145E-13    2.6241E-13    3.0582E-13    3.6179E-13    5.0384E-13
   58    22    1.1292E-12    7.0307E-13    4.3589E-13    3.5301E-13    3.0594E-13    3.0199E-13    3.1034E-13    3.4253E-13    3.8223E-13    4.7602E-13
   58    23    6.0883E-12    4.8095E-12    3.5626E-12    2.9546E-12    2.3675E-12    2.0188E-12    1.9240E-12    1.8839E-12    1.9769E-12    2.3462E-12
   58    24    1.5375E-12    9.7049E-13    6.1110E-13    5.0679E-13    4.7681E-13    5.3520E-13    5.8590E-13    7.0260E-13    7.9400E-13    9.1550E-13
   58    25    2.3906E-12    1.7695E-12    1.3228E-12    1.1771E-12    1.1154E-12    1.1701E-12    1.2319E-12    1.4002E-12    1.5587E-12    1.8245E-12
   58    26    1.6872E-12    1.1296E-12    7.4589E-13    6.1982E-13    5.4136E-13    5.1957E-13    5.2035E-13    5.3837E-13    5.6740E-13    6.4315E-13
   58    27    1.3524E-12    8.7637E-13    5.6474E-13    4.6584E-13    4.1255E-13    4.1884E-13    4.3911E-13    5.0779E-13    5.8605E-13    7.5107E-13
   58    28    8.5120E-13    5.6963E-13    3.7795E-13    3.0923E-13    2.5593E-13    2.2864E-13    2.2166E-13    2.1996E-13    2.2960E-13    2.6488E-13
   58    29    9.0022E-13    6.2453E-13    4.4006E-13    3.7689E-13    3.3245E-13    3.1454E-13    3.1233E-13    3.1997E-13    3.3666E-13    3.8135E-13
   58    30    6.2198E-12    5.0049E-12    3.9047E-12    3.4562E-12    3.1466E-12    3.0911E-12    3.1374E-12    3.3336E-12    3.5452E-12    3.8960E-12
   58    31    2.4028E-12    1.9015E-12    1.5962E-12    1.5723E-12    1.6971E-12    1.9087E-12    2.0271E-12    2.2659E-12    2.4604E-12    2.7905E-12
   58    32    1.9974E-12    1.3952E-12    9.0275E-13    7.1243E-13    5.7828E-13    5.4660E-13    5.6026E-13    6.3220E-13    7.2128E-13    9.0688E-13
   58    33    1.9344E-12    1.2727E-12    7.9973E-13    6.3494E-13    5.2678E-13    5.0306E-13    5.1377E-13    5.7008E-13    6.4230E-13    8.0147E-13
   58    34    1.7882E-12    1.1952E-12    7.9553E-13    6.7407E-13    6.2532E-13    6.6421E-13    7.0770E-13    8.2828E-13    9.4894E-13    1.1770E-12
   58    35    1.1334E-12    7.6850E-13    5.1419E-13    4.2240E-13    3.5633E-13    3.3242E-13    3.3121E-13    3.4450E-13    3.6583E-13    4.1204E-13
   58    36    9.9710E-13    6.5737E-13    4.1444E-13    3.2701E-13    2.6585E-13    2.4780E-13    2.5016E-13    2.7118E-13    2.9901E-13    3.5771E-13
   58    37    1.1714E-11    1.2947E-11    1.4501E-11    1.5711E-11    1.7570E-11    1.9511E-11    2.0520E-11    2.2551E-11    2.4202E-11    2.6931E-11
   58    38    1.1657E-12    7.7130E-13    4.9516E-13    4.0576E-13    3.6117E-13    3.7463E-13    3.9698E-13    4.6251E-13    5.2775E-13    6.4420E-13
   58    39    1.3214E-12    9.0212E-13    5.9488E-13    4.8262E-13    4.0320E-13    3.7629E-13    3.7610E-13    3.9511E-13    4.2323E-13    4.8096E-13
   58    40    1.5652E-12    1.0236E-12    6.4493E-13    5.3767E-13    5.2659E-13    6.1559E-13    6.7830E-13    8.0146E-13    8.8228E-13    9.7146E-13
   58    41    2.1093E-12    1.4953E-12    9.8903E-13    8.0262E-13    6.8881E-13    6.8842E-13    7.1940E-13    8.2501E-13    9.4147E-13    1.1812E-12
   58    42    2.3393E-12    1.6152E-12    1.0538E-12    8.4764E-13    7.0740E-13    6.7385E-13    6.8683E-13    7.6144E-13    8.6147E-13    1.0925E-12
   58    43    3.3022E-12    2.5167E-12    1.9476E-12    1.7883E-12    1.7706E-12    1.8968E-12    1.9937E-12    2.2189E-12    2.4127E-12    2.7293E-12
   58    44    1.3014E-12    9.0172E-13    5.8664E-13    4.7579E-13    4.0965E-13    4.0445E-13    4.1601E-13    4.5502E-13    4.9482E-13    5.6659E-13
   58    45    1.3802E-12    1.0602E-12    7.9104E-13    6.9530E-13    6.4922E-13    6.7033E-13    6.9846E-13    7.7640E-13    8.5189E-13    9.8660E-13
   58    46    8.6796E-12    7.7562E-12    7.0235E-12    6.8639E-12    7.0167E-12    7.4195E-12    7.6794E-12    8.2471E-12    8.7090E-12    9.3933E-12
   58    47    2.0045E-12    1.5658E-12    1.1079E-12    9.1222E-13    7.7836E-13    7.6577E-13    7.9624E-13    9.0975E-13    1.0312E-12    1.2462E-12
   58    48    2.4962E-12    1.8779E-12    1.2756E-12    1.0385E-12    8.8424E-13    8.6863E-13    9.0093E-13    1.0346E-12    1.2055E-12    1.6130E-12
   58    49    2.4225E-12    2.0188E-12    1.6281E-12    1.4835E-12    1.3966E-12    1.3652E-12    1.3537E-12    1.3302E-12    1.3120E-12    1.2895E-12
   58    50    3.9600E-13    2.9874E-13    2.1750E-13    1.9317E-13    1.9043E-13    2.1410E-13    2.3422E-13    2.8685E-13    3.3851E-13    4.3687E-13
   58    51    4.1718E-13    3.2738E-13    2.5210E-13    2.2881E-13    2.2356E-13    2.3804E-13    2.5033E-13    2.8156E-13    3.1146E-13    3.6632E-13
   58    52    2.0002E-12    1.4860E-12    1.0542E-12    9.1921E-13    8.8374E-13    9.5540E-13    1.0149E-12    1.1543E-12    1.2731E-12    1.4622E-12
   58    53    1.6317E-12    1.4426E-12    1.2207E-12    1.1377E-12    1.1062E-12    1.1337E-12    1.1611E-12    1.2332E-12    1.3043E-12    1.4360E-12
   58    54    1.2205E-12    9.0521E-13    5.9958E-13    4.7777E-13    3.9900E-13    3.9210E-13    4.0630E-13    4.5334E-13    4.9951E-13    5.7920E-13
   58    55    3.9131E-13    3.3115E-13    2.4774E-13    2.1566E-13    2.0309E-13    2.1832E-13    2.3365E-13    2.7334E-13    3.1014E-13    3.7457E-13
   58    56    3.7536E-13    3.1778E-13    2.3701E-13    2.0794E-13    2.0111E-13    2.2477E-13    2.4594E-13    3.0024E-13    3.5005E-13    4.3274E-13
   58    57    2.4809E-12    2.2700E-12    1.6839E-12    1.3639E-12    1.1081E-12    1.0550E-12    1.0977E-12    1.3013E-12    1.5583E-12    2.1219E-12
   59     1    1.7979E-13    1.0978E-13    7.3789E-14    6.6672E-14    7.0675E-14    8.8955E-14    1.0392E-13    1.4399E-13    1.8389E-13    2.5888E-13
   59     2    6.3300E-13    4.2410E-13    3.1088E-13    2.8332E-13    2.7499E-13    2.8403E-13    2.9302E-13    3.1940E-13    3.5026E-13    4.2466E-13
   59     3    8.6024E-13    5.6506E-13    4.0176E-13    3.6242E-13    3.6024E-13    4.0423E-13    4.4386E-13    5.5363E-13    6.6423E-13    8.7009E-13
   59     4    4.0350E-13    2.6480E-13    1.8142E-13    1.5251E-13    1.2968E-13    1.2095E-13    1.2192E-13    1.3302E-13    1.4684E-13    1.6941E-13
   59     5    4.4729E-13    2.5301E-13    1.4190E-13    1.0414E-13    7.5139E-14    6.2149E-14    5.9974E-14    6.1845E-14    6.7151E-14    7.9655E-14
